name,place_id,latitude,longitude,rating,user_ratings_total
馬辣頂級麻辣鴛鴦火鍋 台北公館店,ChIJycu5coupQjQRl9dmANfpHuw,25.0146017,121.532653,4.2,6098
樂子瑞安店,ChIJvU5mgSmqQjQR0WhA_Zruk5E,25.0265894,121.5396576,4.3,3769
亞廬義大利窯烤吃到飽餐廳,ChIJCVUzyjGqQjQR4-f5c8-keGc,25.0221397,121.549751,4.3,3493
世界豆漿大王,ChIJMSvxi-epQjQR6kLpzDTtNLQ,25.0154903,121.5161145,3.8,10838
莫宰羊-大安台大店,ChIJ3xl5zIepQjQRGNQknIunDIs,25.0238889,121.5344444,4.2,3023
霞飛驛歐法西餐,ChIJNfAt5MSrQjQR-Z8NpMSCkjk,25.0200278,121.5334694,4.2,1426
臺一牛奶大王,ChIJNfnNcompQjQR3DicBdfTkMs,25.0189836,121.5335137,3.9,6439
肯德基 台北台大餐廳,ChIJ6fT12YupQjQRxhugLfbofCw,25.0172147,121.5331407,3.5,3645
蘇活義大利麵坊,ChIJtde7A4mpQjQR3cag3SFcF7c,25.0201304,121.5335261,4.2,867
龍涎居雞膳食坊 師大創始店,ChIJD_HEZY-pQjQRRtBtmpSmIX8,25.0219485,121.5271421,3.8,908
Vino Vino Caf'e,ChIJYwytno-pQjQRKSSTLHtRuhY,25.0232492,121.5280963,3.6,599
愛樂廚房,ChIJDcdGkoupQjQR63Jx4nLDFRE,25.0164986,121.5321045,3.8,1269
KGB Kiwi Gourmet Burgers,ChIJNTAArY-pQjQR0G-DgiWp9dc,25.0217776,121.5280121,4.1,1539
女巫店,ChIJXWgb_4ipQjQR5zaBg-r3ryU,25.0205722,121.5336417,4.8,3533
Second Floor 貳樓公館店,ChIJ0bB2nIupQjQRQMX2--vUgOE,25.0157152,121.5315785,4.2,4678
俄羅斯城堡,ChIJf-iLZ4mpQjQRC7E9ab8LIDU,25.017511,121.5325407,4.2,1730
狗一下居酒食堂-公館店,ChIJJQBpS_WpQjQR1QUnsPcIhwY,25.0125,121.5354449,4.4,4178
烤必勝日式燒肉(出一張嘴公館店),ChIJsaicfMSrQjQRfej4iNb5sJY,25.0151636,121.533624,4.5,4163
母女的店,ChIJqRrRhIupQjQRqqEjglBbPZA,25.01589,121.531974,4.1,839
瑪莉珍披薩 師大店,ChIJHTQHYI-pQjQRqU4LFb5A6pU,25.0232252,121.5268564,4.1,854
紅蜻蜓食事處,ChIJT_qVvoOpQjQR0lNQZ4pe94U,25.0308284,121.5295899,3.9,603
小木屋鬆餅(台大店),ChIJcebczoupQjQR-muTM2ENPwo,25.0155672,121.5375531,4.2,2781
Macho Tacos 瑪丘墨式餅舖 (師大 Shida),ChIJ_68w9Y-pQjQRa2AIDqFvRmc,25.0230301,121.5286396,4,1725
大隱酒食,ChIJzeBtdYSpQjQRop5qz3tZxW0,25.0291957,121.5297393,4,650
梅江韓國銅盤烤肉 公館店,ChIJbSzOfYypQjQRiJOohRMW2pc,25.01490789999999,121.5318171,3.6,1007
龍潭豆花,ChIJndYG4oqpQjQRaaIRSvBxb3A,25.0138726,121.5340873,4.3,1788
許記生煎包,ChIJMd7HkIWpQjQRSTSy995w1ZM,25.0245728,121.5289434,3.8,988
伊洛瓦底雲泰餐廳,ChIJxc2Wb4-pQjQRarCVcyHWTWQ,25.0232759,121.5292759,3.6,778
詹記麻辣火鍋 敦南店,ChIJU17RsmGpQjQRcy0N9M5XixY,25.0243099,121.5490842,4.4,6011
新馬辣經典麻辣鍋-公館店,ChIJp4DmtIqpQjQRMc1gEd_aAS4,25.011975,121.5357848,4.6,8849
好好味冰火菠蘿油 - 台北 (師大夜市 港式甜品 手工麵包 港式下午茶 專業烘焙 港式茶飲 菠蘿專賣 特調飲品 外送 精緻下午茶),ChIJVVVVVYSpQjQRTBvn41wW-ac,25.024833,121.5293959,4.1,1027
飛月小館,ChIJuaQW0vqpQjQRiXFyGQ-rkRI,25.0015448,121.5259376,4.2,624
歐嬤德式美食 哥德店,ChIJYbE3TImpQjQRwm5Ok39Ck9M,25.0197686,121.5299177,4.4,1829
青田七六,ChIJU6Wht4apQjQRYlBcxJ1liEk,25.0279286,121.5326474,4.4,3854
南城泰式料理(公館店),ChIJYQe0dYupQjQRmcw_n5dhpzQ,25.0150805,121.5323689,3.2,870
龐德羅莎(台大店),ChIJldrqooqpQjQRl4bCVhVRvuI,25.013051,121.5367739,3.9,2346
THE WALL LIVE HOUSE,ChIJCZ9fWPWpQjQRYIvjUBUhcow,25.0107833,121.5367751,4.3,1206
師園鹽酥雞 本店,ChIJN5sMgIWpQjQRBVYjMgpDIYg,25.0245357,121.5290215,4.2,3163
聚日式鍋物 台北南昌店,ChIJn1fdFZCpQjQRnvgTI_LTCkw,25.0239177,121.5243818,4.7,7290
麥當勞-羅斯福餐廳,ChIJWdQlWpqpQjQRGp8WGVvaLCg,25.027535,121.522371,3.9,4279
雲禾特調小火鍋,ChIJ96_lko-pQjQR2cHcKoqcW6I,25.0236368,121.526933,4.1,966
印渡風情印度餐廳師大店,ChIJmxpmfIWpQjQRuO6qJKcBk74,25.0243393,121.5278786,4.6,4687
狠生氣日式燒肉,ChIJmb590uqpQjQRyC_J045QtuY,25.0162639,121.516365,4.3,3910
南川麵館,ChIJHZK6xe6pQjQRk6bIug7qhts,25.0083937,121.520655,3.7,906
恬園餐廳 - 福華國際文教會館,ChIJpZwvzYepQjQRADDNj6t3dlE,25.0238027,121.5337906,3.9,754
寶島肉圓店,ChIJ_8IGdh6qQjQR1WNZ4SvoYHw,25.00591369999999,121.5387798,4.2,1193
小李子清粥小菜,ChIJ4yt0hyyqQjQRA905QCvA3O4,25.028734,121.5432726,3.8,5881
摩斯漢堡 羅斯福路店,ChIJR4y1_YapQjQRBvTjPhu3iJs,25.019468,121.529766,4.1,2194
大福利餐廳（開心素食）,ChIJkTh6YhuqQjQRMCs-EVTU7hY,25.0014114,121.5427322,4.1,480
阿玉水餃 (生水餃專賣店),ChIJXzNlTS-qQjQRCvn2xhSfPAk,25.0216947,121.5426928,4.3,2105
靚咖哩,ChIJIeDdzC6qQjQRNSWr3s9zET0,25.0246495,121.5427665,3.7,406
NKSDchoco 七見櫻堂甜點專賣店,ChIJVdZBfoapQjQR-OCNfJD8Mb4,25.025,121.531374,4.3,771
水源婚宴會館 公館薪僑園水源會館,ChIJr-cBn4ypQjQRRvzifzdp8qA,25.0138243,121.5303176,4.4,2129
CoCo壹番屋 公館台大店,ChIJ1wIizoupQjQRsWmRigUpO38,25.0145808,121.5350849,3.7,1457
韓庭州韓國料理,ChIJB5Ima4mpQjQRB3RV3z1H820,25.019137,121.53294,3.7,1426
順園小館,ChIJoRPjyYqpQjQRLileViO9FZw,25.012306,121.535557,4.1,2282
佬披薩LAPIZZAitalian,ChIJl-sBDI-pQjQRuAvhyCfLSGU,25.022469,121.528811,4.1,818
卡帛素食烘培‧義式廚房‧港式餐點 總店,ChIJuWw81C6qQjQRD7lOTyFReqs,25.0236612,121.542976,4.3,1226
TASTY西堤牛排台北羅斯福店,ChIJwdwRD9qrQjQR8v-5KSTMrpQ,25.0261707,121.5234396,4.7,9298
曼谷燒 水源食堂,ChIJSS8omoupQjQRRudmwb0CAn0,25.01365089999999,121.5349726,3.9,725
